report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,agency_jurisdiction,State,lat,lng
2000,NM00101,"Albuquerque, NM",448607,5136,33,239,3317,1547,12,1144.88,7.36,53.28,739.4,344.85,Albuquerque, NM,35.1053,-106.6464
2000,TX22001,"Arlington, TX",332969,2157,14,96,1452,595,12,647.81,4.2,28.83,436.08,178.7,Arlington, TX,32.6998,-97.125
2000,GAAPD00,"Atlanta, GA",416474,11583,134,278,6849,4322,12,2781.21,32.17,66.75,1644.52,1037.76,Atlanta, GA,33.7627,-84.4224
2000,CO00101,"Aurora, CO",276393,1513,22,165,853,473,12,547.41,7.96,59.7,308.62,171.13,Aurora, CO,39.7087,-104.7273
2000,TX22701,"Austin, TX",656562,3098,32,379,1682,1005,12,471.85,4.87,57.72,256.18,153.07,Austin, TX,30.3004,-97.7522
2000,MD00301,"Baltimore County, MD",754292,6176,33,238,4323,1582,12,818.78,4.37,31.55,573.12,209.73,,,,
2000,MDBPD00,"Baltimore, MD",651154,16003,261,366,8763,6613,12,2457.64,40.08,56.21,1345.76,1015.58,Baltimore, MD,39.3051,-76.6144
2000,MA01301,"Boston, MA",589141,7322,39,325,4507,2451,12,1242.83,6.62,55.17,765.01,416.03,Boston, MA,42.3188,-71.0846
2000,NY01401,"Buffalo, NY",292648,3657,39,176,1887,1555,12,1249.62,13.33,60.14,644.8,531.36,Buffalo, NY,42.9016,-78.8487
2000,NC06001,"Charlotte, NC",625810,7516,75,308,4482,2651,12,1201,11.98,49.22,716.19,423.61,Charlotte, NC,35.208,-80.8304
2000,ILCPD00,"Chicago, IL",2896016,48522,631,2001,26545,19345,12,1675.47,21.79,69.09,916.6,667.99,Chicago, IL,41.8373,-87.6862
2000,OHCIP00,"Cincinnati, OH",331285,2783,22,284,1073,1404,12,840.06,6.64,85.73,323.89,423.8,Cincinnati, OH,39.1413,-84.5061
2000,OHCLP00,"Cleveland, OH",478403,6041,71,615,2271,3084,12,1262.74,14.84,128.55,474.7,644.64,Cleveland, OH,41.4767,-81.6804
2000,OHCOP00,"Columbus, OH",711470,5998,67,578,2255,3098,12,843.04,9.42,81.24,316.95,435.44,Columbus, OH,39.9862,-82.985
2000,TXDPD00,"Dallas, TX",1188580,16042,231,633,8132,7046,12,1349.68,19.43,53.26,684.18,592.81,Dallas, TX,32.7936,-96.7662
2000,CODPD00,"Denver, CO",554636,2885,32,296,1518,1039,12,520.16,5.77,53.37,273.69,187.33,Denver, CO,39.7621,-104.8759
2000,MI82349,"Detroit, MI",951270,22112,396,811,13037,7868,12,2324.47,41.63,85.25,1370.48,827.1,Detroit, MI,42.3834,-83.1024
2000,TX07102,"El Paso, TX",563662,4396,20,188,3457,731,12,779.9,3.55,33.35,613.31,129.69,El Paso, TX,31.8479,-106.4309
2000,VA02901,"Fairfax County, VA",933641,154,2,30,15,107,12,16.49,0.21,3.21,1.61,11.46,Fairfax County, VA,38.8531,-77.2998
2000,TX22012,"Fort Worth, TX",534694,3816,61,325,2116,1314,12,713.68,11.41,60.78,395.74,245.75,Fort Worth, TX,32.7811,-97.3473
2000,CA01005,"Fresno, CA",427652,3843,24,161,2354,1304,12,898.63,5.61,37.65,550.45,304.92,Fresno, CA,36.7831,-119.7941
2000,HI00200,"Honolulu, HI",876303,2302,20,240,1058,984,12,262.69,2.28,27.39,120.73,112.29,Honolulu, HI,21.3294,-157.846
2000,TXHPD00,"Houston, TX",1953631,21491,230,813,12192,8256,12,1100.05,11.77,41.61,624.07,422.6,Houston, TX,29.7863,-95.3889
2000,INIPD00,"Indianapolis, IN",793778,6843,96,443,3753,2551,12,862.08,12.09,55.81,472.8,321.37,Indianapolis, IN,39.7771,-86.1458
2000,FL01602,"Jacksonville, FL",735617,8207,79,443,5663,2022,12,1115.66,10.74,60.22,769.83,274.87,Jacksonville, FL,30.3322,-81.6749
2000,MOKPD00,"Kansas City, MO",441545,7181,113,310,4493,2265,12,1626.33,25.59,70.21,1017.56,512.97,Kansas City, MO,39.1239,-94.5541
2000,NV00201,"Las Vegas, NV",1060541,6349,90,443,2450,3366,12,598.66,8.49,41.77,231.01,317.39,Las Vegas, NV,36.2333,-115.2654
2000,CA01941,"Long Beach, CA",461522,3216,49,114,1534,1519,12,696.82,10.62,24.7,332.38,329.13,Long Beach, CA,33.7981,-118.1675
2000,CA01900,"Los Angeles County, CA",986997,9401,111,248,7105,1937,12,952.49,11.25,25.13,719.86,196.25,,,,
2000,CA01942,"Los Angeles, CA",3694820,50241,550,1459,32705,15527,12,1359.77,14.89,39.49,885.16,420.24,Los Angeles, CA,34.1139,-118.4068
