agency_jurisdiction,rapes,lat,lng
Albuquerque,404,35.1053,-106.6464
Arlington,208,32.6998,-97.125
Atlanta,170,33.7627,-84.4224
Aurora,352,39.7087,-104.7273
Austin,487,30.3004,-97.7522
Baltimore,287,39.3051,-76.6144
Boston,240,42.3188,-71.0846
Buffalo,173,42.9016,-78.8487
Charlotte,216,35.208,-80.8304
Chicago,1432,41.8373,-87.6862
Cincinnati,236,39.1413,-84.5061
Cleveland,495,41.4767,-81.6804
Columbus,806,39.9862,-82.985
Dallas,782,32.7936,-96.7662
Denver,548,39.7621,-104.8759
Detroit,530,42.3834,-83.1024
El Paso,322,31.8479,-106.4309
Fairfax County,130,38.8531,-77.2998
Fort Worth,516,32.7811,-97.3473
Fresno,167,36.7831,-119.7941
Honolulu,318,21.3294,-157.846
Houston,986,29.7863,-95.3889
Indianapolis,677,39.7771,-86.1458
Jacksonville,471,30.3322,-81.6749
Kansas City,366,39.1239,-94.5541
Las Vegas,1107,36.2333,-115.2654
Long Beach,177,33.7981,-118.1675
Los Angeles,2209,34.1139,-118.4068
Louisville,205,38.1663,-85.6485
Memphis,530,35.1046,-89.9773
Mesa,241,33.4017,-111.718
Miami,80,25.7839,-80.2102
Milwaukee,436,43.0642,-87.9673
Minneapolis,407,44.9635,-93.2678
Montgomery County,269,39.1783,-77.1957
Nashville,507,36.1715,-86.7843
Nassau County,68,42.514,-73.6108
New Orleans,409,30.0687,-89.9288
New York City,2244,40.6943,-73.9249
Newark,104,40.7245,-74.1725
Oakland,285,37.3342,-119.6483
Oklahoma City,480,35.4676,-97.5136
Omaha,174,41.2627,-96.0522
Orlando,182,28.4772,-81.3369
Philadelphia,1322,40.0077,-75.1339
Phoenix,1016,33.5722,-112.0891
Pittsburgh,82,40.4396,-79.9762
Portland,262,45.5372,-122.65
Prince George's County,248,37.2209,-77.2683
Raleigh,108,35.8325,-78.6435
Sacramento,105,38.5667,-121.4683
Salt Lake City,291,40.7777,-111.9306
San Antonio,1049,31.4424,-100.4506
San Diego,566,32.8312,-117.1225
San Francisco,344,37.7562,-122.443
San Jose,375,37.3019,-121.8486
Seattle,144,47.6211,-122.3244
St. Louis,263,38.6358,-90.2451
Tampa,77,27.9942,-82.4451
Tucson,422,32.1545,-110.8782
Tulsa,365,36.1284,-95.9042
Virginia Beach,103,36.7335,-76.0435
Washington,494,38.9047,-77.0163
Wichita,349,37.6896,-97.3442
