agency_jurisdiction	Year	Amount
Chicago	1975	3150000
Chicago	1985	2998841
Chicago	1995	2749811
Chicago	2005	2873441
Chicago	2015	2728695
Houston	1975	1372342
Houston	1985	1746375
Houston	1995	1734335
Houston	2005	2045732
Houston	2015	2275221
Las Vegas	1975	249186
Las Vegas	1985	456749
Las Vegas	1995	793432
Las Vegas	2005	1281698
Las Vegas	2015	1562134
Los Angeles	1975	2729878
Los Angeles	1985	3186459
Los Angeles	1995	3466211
Los Angeles	2005	3871077
Los Angeles	2015	3962726
New York City	1975	7422506
New York City	1985	7183984
New York City	1995	7319546
New York City	2005	8115690
New York City	2015	8550861
Philadelphia	1975	1883253
Philadelphia	1985	1640102
Philadelphia	1995	1529848
Philadelphia	2005	1472915
Philadelphia	2015	1567810
Phoenix	1975	668046
Phoenix	1985	890746
Phoenix	1995	1085706
Phoenix	2005	1466296
Phoenix	2015	1559744
San Antonio	1975	768814
San Antonio	1985	862878
San Antonio	1995	999900
San Antonio	2005	1256584
San Antonio	2015	1463586
San Diego	1975	768713
San Diego	1985	988284
San Diego	1995	1157771
San Diego	2005	1272148
San Diego	2015	1400467
Suffolk County	1975	1217700
Suffolk County	1985	1194000
Suffolk County	1995	1212776
Suffolk County	2005	1316259
Suffolk County	2015	1341453
