report_year,agency_jurisdiction,violent_crimes
1975,Atlanta,8033
1975,Baltimore,16086
1975,Detroit,30387
1975,Orlando,1116
1975,Tampa,3168
1976,Atlanta,7529
1976,Baltimore,14191
1976,Detroit,29699
1976,Orlando,1118
1976,Tampa,2935
1977,Atlanta,7595
1977,Baltimore,14283
1977,Detroit,24070
1977,Orlando,1143
1977,Tampa,3194
1978,Atlanta,8845
1978,Baltimore,14659
1978,Detroit,21602
1978,Orlando,1620
1978,Tampa,3510
1979,Atlanta,10715
1979,Baltimore,15523
1979,Detroit,21021
1979,Orlando,1726
1979,Tampa,4206
1980,Atlanta,11075
1980,Baltimore,16571
1980,Detroit,23288
1980,Orlando,2350
1980,Tampa,5089
1981,Atlanta,10608
1981,Baltimore,17737
1981,Detroit,23176
1981,Orlando,2373
1981,Tampa,5674
1982,Atlanta,10486
1982,Baltimore,16683
1982,Detroit,23746
1982,Orlando,2662
1982,Tampa,5736
1983,Atlanta,9326
1983,Baltimore,16132
1983,Detroit,25527
1983,Orlando,2215
1983,Tampa,5053
1984,Atlanta,10525
1984,Baltimore,15581
1984,Detroit,26567
1984,Orlando,2387
1984,Tampa,5852
1985,Atlanta,11610
1985,Baltimore,15498
1985,Detroit,25904
1985,Orlando,2931
1985,Tampa,6855
1986,Atlanta,13162
1986,Baltimore,15229
1986,Detroit,27277
1986,Orlando,3416
1986,Tampa,8147
1987,Atlanta,12893
1987,Baltimore,14295
1987,Detroit,27778
1987,Orlando,3411
1987,Tampa,8899
1988,Atlanta,15911
1988,Baltimore,14721
1988,Detroit,25805
1988,Orlando,3587
1988,Tampa,
1989,Atlanta,16852
1989,Baltimore,15618
1989,Detroit,24956
1989,Orlando,3343
1989,Tampa,7910
1990,Atlanta,16097
1990,Baltimore,17942
1990,Detroit,27747
1990,Orlando,4109
1990,Tampa,9314
1991,Atlanta,16327
1991,Baltimore,19032
1991,Detroit,28262
1991,Orlando,2011
1991,Tampa,10030
1992,Atlanta,15856
1992,Baltimore,21799
1992,Detroit,26447
1992,Orlando,3232
1992,Tampa,9864
1993,Atlanta,16281
1993,Baltimore,21945
1993,Detroit,28358
1993,Orlando,4140
1993,Tampa,9379
1994,Atlanta,14684
1994,Baltimore,20951
1994,Detroit,27471
1994,Orlando,4109
1994,Tampa,10262
1995,Atlanta,14744
1995,Baltimore,21492
1995,Detroit,24011
1995,Orlando,3772
1995,Tampa,8735
1996,Atlanta,13699
1996,Baltimore,19509
1996,Detroit,23239
1996,Orlando,4002
1996,Tampa,8689
1997,Atlanta,12830
1997,Baltimore,17416
1997,Detroit,21976
1997,Orlando,4240
1997,Tampa,7988
1998,Atlanta,12624
1998,Baltimore,16025
1998,Detroit,24427
1998,Orlando,4088
1998,Tampa,7543
1999,Atlanta,11226
1999,Baltimore,18677
1999,Detroit,21976
1999,Orlando,3922
1999,Tampa,6603
2000,Atlanta,11583
2000,Baltimore,16003
2000,Detroit,22112
2000,Orlando,3926
2000,Tampa,6381
2001,Atlanta,10807
2001,Baltimore,14799
2001,Detroit,20947
2001,Orlando,3685
2001,Tampa,6616
2002,Atlanta,9969
2002,Baltimore,13789
2002,Detroit,19940
2002,Orlando,3619
2002,Tampa,6289
2003,Atlanta,8490
2003,Baltimore,11183
2003,Detroit,18724
2003,Orlando,3322
2003,Tampa,5733
2004,Atlanta,7921
2004,Baltimore,11667
2004,Detroit,15913
2004,Orlando,3562
2004,Tampa,5178
2005,Atlanta,7213
2005,Baltimore,11248
2005,Detroit,21274
2005,Orlando,3801
2005,Tampa,4707
2006,Atlanta,7548
2006,Baltimore,10816
2006,Detroit,21391
2006,Orlando,4300
2006,Tampa,3839
2007,Atlanta,8075
2007,Baltimore,10182
2007,Detroit,19690
2007,Orlando,4269
2007,Tampa,3575
2008,Atlanta,7403
2008,Baltimore,10080
2008,Detroit,17982
2008,Orlando,3829
2008,Tampa,2975
2009,Atlanta,6359
2009,Baltimore,9664
2009,Detroit,18094
2009,Orlando,2814
2009,Tampa,2597
2010,Atlanta,5749
2010,Baltimore,9316
2010,Detroit,16973
2010,Orlando,2574
2010,Tampa,2170
2011,Atlanta,6097
2011,Baltimore,8886
2011,Detroit,15254
2011,Orlando,2591
2011,Tampa,2228
2012,Atlanta,6027
2012,Baltimore,8789
2012,Detroit,15023
2012,Orlando,2508
2012,Tampa,2162
2013,Atlanta,5516
2013,Baltimore,8725
2013,Detroit,14501
2013,Orlando,2316
2013,Tampa,2097
2014,Atlanta,5577
2014,Baltimore,8346
2014,Detroit,13622
2014,Orlando,2340
2014,Tampa,2080
2015,Atlanta,5203
2015,Baltimore,9542
2015,Detroit,11846
2015,Orlando,2525
2015,Tampa,2298
