report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,agency_jurisdiction,,lat,lng
2015,NM00101,"Albuquerque, NM",559721,5406,43,404,3273,1686,965.84,7.68,72.18,584.76,301.22,Albuquerque, NM,35.1053,-106.6464
2015,TX22001,"Arlington, TX",387565,1946,8,208,1201,529,502.11,2.06,53.67,309.88,136.49,Arlington, TX,32.6998,-97.125
2015,GAAPD00,"Atlanta, GA",464710,5203,94,170,2944,1995,1119.62,20.23,36.58,633.51,429.3,Atlanta, GA,33.7627,-84.4224
2015,CO00101,"Aurora, CO",360237,1660,24,352,837,447,460.81,6.66,97.71,232.35,124.08,Aurora, CO,39.7087,-104.7273
2015,TX22701,"Austin, TX",938728,3497,23,487,2058,929,372.53,2.45,51.88,219.23,98.96,Austin, TX,30.3004,-97.7522
2015,MDBPD00,"Baltimore, MD",621252,9542,344,287,4598,4313,1535.93,55.37,46.2,740.12,694.24,Baltimore, MD,39.3051,-76.6144
2015,MA01301,"Boston, MA",665258,4702,38,240,2873,1551,706.79,5.71,36.08,431.86,233.14,Boston, MA,42.3188,-71.0846
2015,NY01401,"Buffalo, NY",258096,2887,41,173,1640,1033,1118.58,15.89,67.03,635.42,400.24,Buffalo, NY,42.9016,-78.8487
2015,NC06001,"Charlotte, NC",877817,5948,61,216,3724,1947,677.59,6.95,24.61,424.23,221.8,Charlotte, NC,35.208,-80.8304
2015,ILCPD00,"Chicago, IL",2728695,24663,478,1432,13104,9649,903.84,17.52,52.48,480.23,353.61,Chicago, IL,41.8373,-87.6862
2015,OHCIP00,"Cincinnati, OH",298478,2761,66,236,1196,1263,925.03,22.11,79.07,400.7,423.15,Cincinnati, OH,39.1413,-84.5061
2015,OHCLP00,"Cleveland, OH",388655,5205,63,495,1655,2992,1339.23,16.21,127.36,425.83,769.83,Cleveland, OH,41.4767,-81.6804
2015,OHCOP00,"Columbus, OH",847745,4631,77,806,1508,2240,546.27,9.08,95.08,177.88,264.23,Columbus, OH,39.9862,-82.985
2015,TXDPD00,"Dallas, TX",1301977,9038,136,782,3943,4177,694.18,10.45,60.06,302.85,320.82,Dallas, TX,32.7936,-96.7662
2015,CODPD00,"Denver, CO",682418,4599,53,548,2768,1230,673.93,7.77,80.3,405.62,180.24,Denver, CO,39.7621,-104.8759
2015,MI82349,"Detroit, MI",673225,11846,295,530,7564,3457,1759.59,43.82,78.73,1123.55,513.5,Detroit, MI,42.3834,-83.1024
2015,TX07102,"El Paso, TX",686077,2515,17,322,1766,410,366.58,2.48,46.93,257.41,59.76,El Paso, TX,31.8479,-106.4309
2015,VA02901,"Fairfax County, VA",1101700,974,14,130,387,443,88.41,1.27,11.8,35.13,40.21,Fairfax County, VA,38.8531,-77.2998
2015,TX22012,"Fort Worth, TX",829731,4359,56,516,2806,981,525.35,6.75,62.19,338.18,118.23,Fort Worth, TX,32.7811,-97.3473
2015,CA01005,"Fresno, CA",520837,2871,39,167,1653,1012,551.23,7.49,32.06,317.37,194.3,Fresno, CA,36.7831,-119.7941
2015,HI00200,"Honolulu, HI",999307,2437,15,318,1208,896,243.87,1.5,31.82,120.88,89.66,Honolulu, HI,21.3294,-157.846
2015,TXHPD00,"Houston, TX",2275221,21994,303,986,10427,10278,966.68,13.32,43.34,458.29,451.74,Houston, TX,29.7863,-95.3889
2015,INIPD00,"Indianapolis, IN",863675,11124,148,677,6497,3802,1287.98,17.14,78.39,752.25,440.21,Indianapolis, IN,39.7771,-86.1458
2015,FL01602,"Jacksonville, FL",867258,5622,97,471,3656,1398,648.25,11.18,54.31,421.56,161.2,Jacksonville, FL,30.3322,-81.6749
2015,MOKPD00,"Kansas City, MO",473373,6709,109,366,4531,1703,1417.28,23.03,77.32,957.17,359.76,Kansas City, MO,39.1239,-94.5541
2015,NV00201,"Las Vegas, NV",1562134,14383,127,1107,8139,5010,920.73,8.13,70.86,521.02,320.72,Las Vegas, NV,36.2333,-115.2654
2015,CA01941,"Long Beach, CA",476318,2766,36,177,1499,1054,580.7,7.56,37.16,314.71,221.28,Long Beach, CA,33.7981,-118.1675
2015,CA01942,"Los Angeles, CA",3962726,25156,282,2209,13713,8952,634.82,7.12,55.74,346.05,225.91,Los Angeles, CA,34.1139,-118.4068
2015,KY05680,"Louisville, KY",680550,4300,81,205,2469,1545,631.84,11.9,30.12,362.79,227.02,Louisville, KY,38.1663,-85.6485
2015,TNMPD00,"Memphis, TN",657936,11449,135,530,7653,3131,1740.14,20.52,80.55,1163.18,475.88,Memphis, TN,35.1046,-89.9773
2015,AZ00717,"Mesa, AZ",471034,1972,16,241,1307,408,418.65,3.4,51.16,277.47,86.62,Mesa, AZ,33.4017,-111.718
2015,FL01306,"Miami, FL",437969,4473,75,80,2637,1681,1021.31,17.12,18.27,602.1,383.82,Miami, FL,25.7839,-80.2102
